"Location","Population","Highest Infection Count","Percent Population Infected"
"Vatican",511,29,5.67514677103718
"Falkland Islands",3764,1930,51.2752391073326
"Montserrat",4417,1403,31.7636404799638
"Saint Helena",5404,2013,37.2501850481125
"Saint Pierre and Miquelon",5883,3231,54.9209586945436
"Tuvalu",11204,20,0.178507675830061
"Wallis and Futuna",11627,761,6.54511051862045
"Nauru",12512,4611,36.852621483376
"Anguilla",15753,3866,24.5413572018028
"Cook Islands",17003,6389,37.5757219314239
"Palau",18024,5490,30.4593874833555
"Bonaire Sint Eustatius and Saba",26706,11427,42.7881374971916
"British Virgin Islands",31122,7305,23.4721418931945
"Gibraltar",32670,20121,61.5886134067952
"San Marino",33746,21400,63.414923250163
"Monaco",36686,14873,40.5413509240582
"Liechtenstein",39039,20470,52.434744742437
"Marshall Islands",42050,15389,36.5969084423306
"Turks and Caicos Islands",45114,6380,14.1419515006428
"Saint Kitts and Nevis",47606,6548,13.754568751838
"Faeroe Islands",52888,34658,65.5309332929965
"Greenland",56243,11971,21.2844265064097
"Bermuda",64185,18340,28.5736542805952
"Cayman Islands",68136,30926,45.3886344957145
"Dominica",72412,15760,21.7643484505331
"Andorra",79034,46449,58.7709087228282
"Isle of Man",84263,38008,45.1063930788128
"Antigua and Barbuda",93220,9106,9.76829006650933
"Saint Vincent and the Grenadines",104332,9452,9.05954069700571
"Tonga",106017,16182,15.2635898016356
"Seychelles",106470,47141,44.2763219686297
"Aruba",106536,44145,41.4366974543816
"Micronesia (country)",113131,21815,19.2829551581795
"Grenada",124610,19584,15.7162346521146
"Kiribati",128874,3430,2.66151434734702
"Saint Lucia",179652,29550,16.4484670362701
"Curacao",190338,45434,23.8701678067438
"Samoa",218764,15946,7.28913349545629
"Sao Tome and Principe",223107,6263,2.80717323974595
"Barbados",281200,103014,36.6337126600285
"New Caledonia",287800,74377,25.8432939541348
"French Polynesia",304032,76731,25.2378039153773
"Vanuatu",319136,11976,3.75263210668806
"Iceland",370335,206134,55.6614956728368
"Belize",400031,68926,17.2301646622387
"Bahamas",407906,37342,9.15456011924316
"Brunei",445373,234582,52.670907306909
"Maldives",521458,185194,35.5146531456033
"Malta",526748,115136,21.8578903004852
"Cape Verde",587925,62397,10.6130884041332
"Suriname",612984,81158,13.2398235516751
"Montenegro",627859,282124,44.9342925720584
"Luxembourg",639321,299715,46.8802057182542
"Macao",686607,793,0.115495472664858
"Solomon Islands",707851,21544,3.04357838019583
"Bhutan",777486,62248,8.00631779864846
"Guyana",804567,71418,8.87657584762984
"Comoros",821626,8481,1.03222147303031
"Cyprus",896007,593542,66.2430092622044
"Fiji",924610,68257,7.38224765036069
"Djibouti",1105557,15690,1.41919412567602
"Eswatini",1192271,73436,6.15933793575454
"Mauritius",1298915,263780,20.307718364943
"Timor",1320942,23292,1.76328710874512
"Estonia",1328701,605622,45.5800063370164
"Bahrain",1463265,686932,46.9451534752762
"Trinidad and Tobago",1525663,184524,12.0946762161762
"Equatorial Guinea",1634466,17133,1.04823226668527
"Kosovo",1782115,272131,15.2701144426706
"Latvia",1873919,946914,50.5312129286271
"Guinea-Bissau",2060721,8831,0.428539331622282
"North Macedonia",2103330,343824,16.3466503116487
"Slovenia",2119410,1222557,57.6838365394143
"Lesotho",2281454,34490,1.51175522276583
"Gabon",2341179,48810,2.08484699375827
"Namibia",2530151,169874,6.71398663558025
"Botswana",2588423,326344,12.6078311002491
"Gambia",2639916,12508,0.473802954336426
"Qatar",2688235,464385,17.2747174261179
"Lithuania",2786651,1264090,45.3623363672021
"Armenia",2790974,444869,15.9395608844798
"Jamaica",2827694,151931,5.37296468429752
"Albania",2854710,332719,11.6550893085462
"Moldova",3061506,592535,19.3543635060653
"Bosnia and Herzegovina",3270943,399626,12.2174553332174
"Mongolia",3347782,984184,29.3980910346014
"Uruguay",3426260,988527,28.851488211636
"Eritrea",3620312,10185,0.281329343990242
"Georgia",3757980,1780691,47.3842596288432
"Croatia",4060135,1243500,30.6270604302566
"Kuwait",4250114,661335,15.5604061443999
"Panama",4351267,989005,22.7291269416471
"Oman",4520471,398660,8.81899253418504
"Mauritania",4614974,63223,1.36995354686722
"Ireland",4986526,1670377,33.4978098981134
"New Zealand",5129728,1814974,35.3814861138836
"Palestine",5133392,702804,13.6908305463522
"Costa Rica",5153957,1130568,21.9359222438216
"Liberia",5193416,7988,0.153810131905474
"Norway",5403021,1463839,27.0929726166158
"Slovakia",5447622,2639268,48.4480751417775
"Singapore",5453600,2046123,37.5187582514302
"Central African Republic",5457154,15151,0.277635558754618
"Finland",5535992,1335318,24.1206634691669
"Lebanon",5592631,1217831,21.7756365474497
"Congo",5835806,24837,0.425596738479655
"Denmark",5854240,3324976,56.796031594195
"El Salvador",6314167,201785,3.19575012824336
"Kyrgyzstan",6527743,206334,3.16087811667831
"Paraguay",6703799,717260,10.6993064678699
"Libya",6735277,507024,7.52788638091648
"Nicaragua",6850540,15145,0.221077462506605
"Serbia",6871547,2393928,34.8382685878449
"Bulgaria",6885868,1273231,18.490493863664
"Laos",7425058,216158,2.91119611456234
"Hong Kong",7494578,1858720,24.8008627036772
"Sierra Leone",8420641,7752,0.0920594999834336
"Togo",8644829,39261,0.454155889029153
"Switzerland",8691406,4201711,48.3432830085259
"Austria",8922082,5379734,60.2968455120677
"Israel",9291000,4675414,50.3219674954257
"United Arab Emirates",9365144,1034120,11.0422220950367
"Belarus",9578168,994037,10.3781537346181
"Hungary",9709786,2132490,21.962275996608
"Tajikistan",9750064,17786,0.182419315401417
"Papua New Guinea",9949437,45313,0.455432804891372
"Honduras",10278346,456886,4.44513154159239
"Portugal",10290103,5509424,53.5409995410153
"Azerbaijan",10312992,822805,7.9783345124286
"Greece",10445365,5081981,48.652976703064
"Sweden",10467097,2608289,24.9189340654816
"Czechia",10510750,4147736,39.4618462050758
"South Sudan",10748272,17823,0.165822003760232
"Dominican Republic",11117874,647205,5.82130180644249
"Jordan",11148278,1746997,15.6705546811804
"Cuba",11256372,1111265,9.87231942938631
"Haiti",11447569,33764,0.294944717083601
"Belgium",11611420,4602438,39.6371675471217
"Bolivia",12079472,1109171,9.18228048378273
"Tunisia",12262946,1146044,9.3455846580422
"Burundi",12551213,50372,0.401331727857698
"Benin",12996895,27782,0.213758747762446
"Rwanda",13461888,132533,0.984505293759687
"Guinea",13531906,37999,0.280810404683568
"Zimbabwe",15993524,257893,1.61248390285968
"Cambodia",16589023,137979,0.83174880160212
"Senegal",16876720,88630,0.52516128726435
"Somalia",17065581,27225,0.15953163270562
"Chad",17179740,7613,0.0443138254711655
"Netherlands",17501696,8498484,48.5580597446099
"Guatemala",17608483,1135690,6.4496754206481
"Ecuador",17797737,1006922,5.65758444458416
"Kazakhstan",19196465,1484504,7.73321546440972
"Romania",19328560,3282224,16.9812132926612
"Zambia",19473125,333644,1.71335622813493
"Chile",19493184,4696888,24.0950272669668
"Malawi",19889742,88065,0.442765924263874
"Syria",21324367,57344,0.268913023303341
"Sri Lanka",21773441,670966,3.08157998545108
"Mali",21904983,32714,0.149345014328475
"Burkina Faso",22100683,21631,0.097874803235719
"Taiwan",23859912,7341966,30.7711361215414
"Niger",25252722,9415,0.0372831095198371
"Australia",25921089,10341058,39.8943809806756
"North Korea",25971909,1,3.85031381405194e-06
"Cameroon",27198628,121652,0.447272560954178
"Cote d'Ivoire",27478249,87676,0.319074188460844
"Venezuela",28199866,545469,1.93429642538018
"Madagascar",28915653,66687,0.230625951971411
"Nepal",30034989,1000325,3.3305322668838
"Mozambique",32077072,230370,0.718176521847131
"Ghana",32833031,170421,0.519053510472426
"Yemen",32981641,11939,0.0361989265482576
"Malaysia",33573874,4875131,14.5206090902706
"Peru",33715472,4151705,12.3139459533593
"Uzbekistan",34081449,244436,0.717211289930777
"Angola",34503774,103131,0.298897737969186
"Saudi Arabia",35950396,819811,2.2803949085846
"Morocco",37076584,1265332,3.41275237222501
"Canada",38155012,4341692,11.3790869728989
"Poland",38307726,6332422,16.5304043367126
"Afghanistan",40099462,201750,0.503123957124412
"Ukraine",43531422,5583316,12.8259444407766
"Iraq",43533592,2460868,5.65280255302618
"Algeria",44177969,270769,0.612905043235464
"Oceania",44491772,12544263,28.1945682001607
"Argentina",45276780,9715464,21.4579393675964
"Sudan",45657202,63449,0.138968217982346
"Uganda",45853778,169396,0.369426484334617
"Spain",47486935,13462593,28.3500988219181
"Colombia",51516562,6309168,12.2468731512014
"South Korea",51830139,25244255,48.7057443546505
"Kenya",53005614,338703,0.63899457895158
"Myanmar",53798084,629926,1.17090787099407
"Italy",59240330,23254633,39.2547323757312
"South Africa",59392255,4024959,6.77690887473459
"Tanzania",63588334,39679,0.0623998106319313
"United Kingdom",67281040,23855526,35.4565357491501
"France",67422000,36537787,54.1926774643292
"Thailand",71601103,4687281,6.54638099639331
"Germany",83408554,35098062,42.0796912508518
"Turkey",84775404,16919638,19.9581921190255
"Iran",87923432,7555555,8.59333493715305
"Democratic Republic of Congo",95894118,93027,0.0970101211004412
"Vietnam",97468028,11495772,11.7944029810473
"Egypt",109262178,515645,0.471933663998534
"Philippines",113880328,3989556,3.50328811838336
"Ethiopia",120283026,493837,0.410562501146255
"Japan",124612530,21923635,17.5934434522756
"Mexico",126705138,7105565,5.60795332546025
"Russia",145102755,21041184,14.500885251972
"Bangladesh",169356251,2033662,1.20081897656084
"Nigeria",213401323,265937,0.124618252718143
"Brazil",214326223,34771320,16.2235490894644
"Pakistan",231402116,1572778,0.679673127967421
"Indonesia",273753191,6464962,2.36160242603346
"United States",336997624,97139323,28.8249281543896
"South America",433956670,64166400,14.7863610438342
"European Union",447593544,172462543,38.5310613416712
"North America",596315269,115127204,19.3064323496301
"Low income",701926970,2248510,0.320333894564558
"Europe",748655221,234621161,31.3390135297006
"High income",1241374280,389521740,31.3782673183788
"Africa",1392394303,12372665,0.888589171425244
"India",1407563842,44638636,3.17134006060949
"China",1425893464,1017089,0.0713299433428078
"Upper middle income",2501427940,138609024,5.54119596185529
"Lower middle income",3363196660,96373392,2.86552948705652
"Asia",4693235454,187952022,4.00474307846222
"World",7909295152,626784436,7.9246560401973
